,90分位,95分位,99分位
0.26,2.16%,2.36%,2.70%
0.24,2.00%,2.18%,2.50%
0.22,1.83%,2.00%,2.29%
0.2,1.66%,1.82%,2.08%
0.18,1.50%,1.63%,1.88%
0.16,1.33%,1.46%,1.67%
0.15,1.25%,1.36%,1.57%
0.14,1.17%,1.27%,1.46%
0.13,1.08%,1.18%,1.36%
0.12,0.99%,1.09%,1.25%
0.11,0.92%,1.00%,1.15%
0.1,0.83%,0.91%,1.05%
0.09,0.75%,0.82%,0.94%
0.08,0.67%,0.72%,0.83%
0.07,0.58%,0.64%,0.73%
0.06,0.49%,0.54%,0.62%
0.05,0.41%,0.45%,0.52%
0.04,0.32%,0.36%,0.41%
0.03,0.24%,0.26%,0.31%
