,年化收益率,季度胜率,夏普比率,卡玛比率,参数
绩效数据,0.05758882853193703,0.5952380952380952,0.07751668155611631,0.16581775841590987,cmo_length: 5; m_length: 5
绩效数据,0.006499707450298597,0.5714285714285714,-0.14767639198558963,0.013665954149390081,cmo_length: 5; m_length: 10
绩效数据,0.01497054392010555,0.5714285714285714,-0.11034983461776217,0.032453324876674995,cmo_length: 5; m_length: 15
绩效数据,0.08126441913112425,0.5714285714285714,0.1822264201528057,0.15862053615287694,cmo_length: 5; m_length: 20
绩效数据,0.018702365481214844,0.5476190476190477,-0.09407965103626989,0.030568939133116677,cmo_length: 5; m_length: 25
绩效数据,0.03148251709566674,0.6190476190476191,-0.037649159561234984,0.0566553440033644,cmo_length: 5; m_length: 30
绩效数据,0.03976073759998644,0.6428571428571429,-0.0010578267580007238,0.08396230380709635,cmo_length: 5; m_length: 35
绩效数据,0.02241192844751727,0.5714285714285714,-0.07775857206499955,0.0384245608449422,cmo_length: 5; m_length: 40
绩效数据,0.055124411767464965,0.5476190476190477,0.06694923944756381,0.11357757521258527,cmo_length: 5; m_length: 45
绩效数据,0.020976227405288705,0.5952380952380952,-0.08420749487945396,0.03945726767750813,cmo_length: 5; m_length: 50
绩效数据,0.024061066992521862,0.5952380952380952,-0.07056422743926484,0.047516975219334776,cmo_length: 5; m_length: 55
绩效数据,0.050515256533860686,0.6190476190476191,0.04656766646932529,0.10496814596287399,cmo_length: 5; m_length: 60
绩效数据,0.0434006275221841,0.6190476190476191,0.01506211857677619,0.07878760722886054,cmo_length: 5; m_length: 65
绩效数据,0.04661993106403495,0.5476190476190477,0.02932483828571674,0.09117658504488997,cmo_length: 5; m_length: 70
绩效数据,0.02940055662071983,0.5952380952380952,-0.046971634407547785,0.05581881470360788,cmo_length: 5; m_length: 75
绩效数据,0.004927168178433972,0.5952380952380952,-0.15548394399330534,0.008209282131422961,cmo_length: 5; m_length: 80
绩效数据,0.02396369699806078,0.5476190476190477,-0.07118721867694905,0.043692858593507765,cmo_length: 5; m_length: 85
绩效数据,0.011981095447445966,0.5476190476190477,-0.12445866687129101,0.021112096549766726,cmo_length: 5; m_length: 90
绩效数据,0.027913999985082594,0.5238095238095238,-0.053710662890175426,0.05644743225084715,cmo_length: 5; m_length: 95
绩效数据,0.04441312552750487,0.5238095238095238,0.01963092789259966,0.1006764643543063,cmo_length: 5; m_length: 100
绩效数据,0.04565889686301983,0.5238095238095238,0.025175433621065686,0.08459115819357356,cmo_length: 5; m_length: 105
绩效数据,0.050415046911496564,0.5,0.04634077926838793,0.09266950890487924,cmo_length: 5; m_length: 110
绩效数据,0.04923033145134581,0.47619047619047616,0.04109107123293884,0.09052950672313795,cmo_length: 5; m_length: 115
绩效数据,0.05718653668153628,0.47619047619047616,0.07652987201020962,0.10581746465302148,cmo_length: 5; m_length: 120
绩效数据,0.02771889488472401,0.47619047619047616,-0.05468122965003885,0.05017170782512899,cmo_length: 5; m_length: 125
绩效数据,0.03615992234562837,0.5238095238095238,-0.01710982776645283,0.07178774096690191,cmo_length: 5; m_length: 130
绩效数据,0.014769167120542992,0.5238095238095238,-0.11250739668051987,0.026468115544516405,cmo_length: 5; m_length: 135
绩效数据,0.005034956466131613,0.5476190476190477,-0.15596134168383574,0.009128513114653024,cmo_length: 5; m_length: 140
绩效数据,0.002518255693146454,0.5476190476190477,-0.16722615563660506,0.004402406252768187,cmo_length: 5; m_length: 145
绩效数据,0.009749862053224811,0.5238095238095238,-0.13499353501820116,0.018353359522439883,cmo_length: 5; m_length: 150
绩效数据,0.006168001178249671,0.5476190476190477,-0.15103468264078673,0.011522970799285345,cmo_length: 5; m_length: 155
绩效数据,0.018954886363513834,0.5476190476190477,-0.0939955518591118,0.04057647153209729,cmo_length: 5; m_length: 160
绩效数据,0.03183043051137613,0.5238095238095238,-0.03654508960719969,0.06267341498041831,cmo_length: 5; m_length: 165
绩效数据,0.042561746538271494,0.5238095238095238,0.01146413744059153,0.09112747116512389,cmo_length: 5; m_length: 170
绩效数据,0.03738342015956797,0.5238095238095238,-0.011714820585837627,0.07767726436059033,cmo_length: 5; m_length: 175
绩效数据,0.027907315746458883,0.5238095238095238,-0.054153552793867285,0.054676235741169615,cmo_length: 5; m_length: 180
绩效数据,0.03678648042165755,0.5238095238095238,-0.014412213679783141,0.06704941390340559,cmo_length: 5; m_length: 185
绩效数据,0.03648427067189841,0.5476190476190477,-0.01577455979023034,0.0670599510813081,cmo_length: 5; m_length: 190
绩效数据,0.029903083908119577,0.5476190476190477,-0.04530630550967522,0.05125871196563633,cmo_length: 5; m_length: 195
绩效数据,0.01849642640370619,0.5238095238095238,-0.09661451026777257,0.03109215453081623,cmo_length: 5; m_length: 200
绩效数据,0.03179566219208496,0.5238095238095238,-0.03698597457237905,0.05359794949411318,cmo_length: 5; m_length: 205
绩效数据,0.02640092072847966,0.5,-0.06133515932701315,0.04374210141164157,cmo_length: 5; m_length: 210
绩效数据,0.04722170072889176,0.5476190476190477,0.03258588064892244,0.08236313226058181,cmo_length: 5; m_length: 215
绩效数据,0.030900562919517593,0.5476190476190477,-0.04106013152720804,0.04909937519995846,cmo_length: 5; m_length: 220
绩效数据,0.03174610613619322,0.5476190476190477,-0.037249838946567346,0.05355824431429674,cmo_length: 5; m_length: 225
绩效数据,0.036706512910927636,0.5,-0.014865920793422189,0.06363872634174357,cmo_length: 5; m_length: 230
绩效数据,0.04647378880183983,0.5476190476190477,0.029225633603399716,0.08327446783313071,cmo_length: 5; m_length: 235
