,ratio_mean,sharpe
timeperiod: 175; std: 1,0.0023881730725787737,0.09056758828846663
timeperiod: 175; std: 1.5,0.002219529356207254,0.14595893925466039
timeperiod: 175; std: 2,0.0011876763981025153,0.06263575157355272
timeperiod: 175; std: 2.5,,0.03282469651071583
timeperiod: 175; std: 3,,-0.08651549797961022
timeperiod: 180; std: 0.5,0.0013615347962381782,0.12114661714600966
timeperiod: 180; std: 1,0.0020441573830411366,0.09293034874130102
timeperiod: 180; std: 1.5,0.0018249670790315582,0.1492293951884319
timeperiod: 180; std: 2,,0.07380931082701772
timeperiod: 180; std: 2.5,,0.026276810286813168
timeperiod: 180; std: 3,,-0.08651549797961022
timeperiod: 185; std: 0.5,0.0018271593572383848,0.1212478006374988
timeperiod: 185; std: 1,0.0018223329079091592,0.10315832937221825
timeperiod: 185; std: 1.5,0.0011924965146220148,0.13530143440031547
timeperiod: 185; std: 2,,0.08027881279439035
timeperiod: 185; std: 2.5,,0.045298091084356756
timeperiod: 185; std: 3,,-0.08689964738536302
timeperiod: 190; std: 0.5,0.001711194617663997,0.13102747628101685
timeperiod: 190; std: 1,0.0014623191213342013,0.1181236747529968
timeperiod: 190; std: 1.5,0.0011876763981025153,0.1365875365763634
timeperiod: 190; std: 2,,0.051720187750408285
timeperiod: 190; std: 2.5,,0.046887393451498074
timeperiod: 190; std: 3,,-0.12718147386356637
timeperiod: 195; std: 0.5,0.0012899917497940926,0.11287215955545375
timeperiod: 195; std: 1,0.0019025612731615586,0.14744790762635654
timeperiod: 195; std: 1.5,,0.11291318311664152
timeperiod: 195; std: 2,,0.011575008740135376
timeperiod: 195; std: 2.5,,0.026823334576271333
timeperiod: 195; std: 3,,-0.1273349043706051
timeperiod: 200; std: 0.5,0.0009888378608425817,0.12807590925618434
timeperiod: 200; std: 1,0.0018728471283864286,0.15898590162775272
timeperiod: 200; std: 1.5,,0.10602100426454494
timeperiod: 200; std: 2,,-0.008168023098551507
timeperiod: 200; std: 2.5,,-0.0007019696098143389
timeperiod: 200; std: 3,,-0.1298346161046595
timeperiod: 205; std: 0.5,0.002011140815669926,0.14593852166907173
timeperiod: 205; std: 1,0.0012742427225152571,0.17184461105027124
timeperiod: 205; std: 1.5,,0.13100510801323026
timeperiod: 205; std: 2,,-0.006312079555034548
timeperiod: 205; std: 2.5,,-0.015308728024815114
timeperiod: 205; std: 3,,-0.14999420033427688
timeperiod: 20; std: 0.5,0.0011704811457341304,0.17092436806153477
timeperiod: 20; std: 1,0.0018182752857113069,0.23871419560801874
timeperiod: 20; std: 1.5,0.0019365831706111632,0.11189437709232619
timeperiod: 20; std: 2,0.002985462456406866,0.11030337239115189
timeperiod: 20; std: 2.5,0.0015633987990822508,0.04083040435778925
timeperiod: 20; std: 3,0.0011453598957088017,-0.17876158468479372
timeperiod: 210; std: 0.5,0.0018334386399549867,0.15334262478410413
timeperiod: 210; std: 1,0.0014676166003814537,0.18222329900465178
timeperiod: 210; std: 1.5,,0.16095159001415846
timeperiod: 210; std: 2,,-0.046833145984855586
timeperiod: 210; std: 2.5,,-0.030912927210888213
timeperiod: 210; std: 3,,-0.13685712953679177
timeperiod: 215; std: 0.5,0.0018219144624634245,0.16346514049915334
timeperiod: 215; std: 1,0.0011355071089037094,0.16148100388751085
timeperiod: 215; std: 1.5,,0.1581929792885986
timeperiod: 215; std: 2,,-0.10304712735675733
timeperiod: 215; std: 2.5,,-0.025868512616096344
timeperiod: 215; std: 3,,-0.15529833578241461
timeperiod: 220; std: 0.5,0.0018303802615477905,0.18029691915899163
timeperiod: 220; std: 1,0.0011355071089037094,0.163089650917507
timeperiod: 220; std: 1.5,,0.1438183621970847
timeperiod: 220; std: 2,,-0.11480692544865866
timeperiod: 220; std: 2.5,,-0.07515016248061157
timeperiod: 220; std: 3,,-0.1263526150445661
timeperiod: 225; std: 0.5,0.0018303802615477905,0.16988785692469713
timeperiod: 225; std: 1,0.0012106792383136781,0.15908367524258885
timeperiod: 225; std: 1.5,,0.14546303005851544
timeperiod: 225; std: 2,,-0.11609651297491082
timeperiod: 225; std: 2.5,,-0.07798790584396594
timeperiod: 225; std: 3,,-0.07014368123479617
timeperiod: 230; std: 0.5,0.001809880145636122,0.18361201055724297
timeperiod: 230; std: 1,0.0012106792383136781,0.17034299950773346
timeperiod: 230; std: 1.5,,0.15011018922108574
timeperiod: 230; std: 2,,-0.12442463784374956
timeperiod: 230; std: 2.5,,-0.10837248430084413
timeperiod: 230; std: 3,,-0.029851243006108325
timeperiod: 235; std: 0.5,0.0016494160635799383,0.20403350050530386
timeperiod: 235; std: 1,0.0012106792383136781,0.17518820840705898
timeperiod: 235; std: 1.5,,0.12932548269481708
timeperiod: 235; std: 2,,-0.12173257770470995
timeperiod: 235; std: 2.5,,-0.1221467838136041
timeperiod: 235; std: 3,,-0.030640645038771293
timeperiod: 25; std: 0.5,0.001137547508683909,0.14721471415792778
timeperiod: 25; std: 1,0.0014895684962087426,0.23100687798127653
timeperiod: 25; std: 1.5,0.0021766836873597737,0.16941731036765073
timeperiod: 25; std: 2,0.002213408536431019,0.05676428721903244
timeperiod: 25; std: 2.5,0.002114281268797829,-0.02052947050325477
timeperiod: 25; std: 3,0.0010720247042990596,-0.20278207966482778
timeperiod: 30; std: 0.5,0.0011257632079393583,0.17471361545178704
timeperiod: 30; std: 1,0.0014287540078040354,0.20870934985757317
timeperiod: 30; std: 1.5,0.00225439689316234,0.1743771666525538
timeperiod: 30; std: 2,0.0023398477348216093,0.07029633955764204
timeperiod: 30; std: 2.5,0.0014490226336095343,-0.18583432184599802
timeperiod: 30; std: 3,0.0010720247042990596,-0.1631887170292065
timeperiod: 35; std: 0.5,0.0012130268500324943,0.1585415773539074
timeperiod: 35; std: 1,0.002017937819935473,0.16295576582447888
timeperiod: 35; std: 1.5,0.001751968735840868,0.11546170414621948
timeperiod: 35; std: 2,0.0020449759043808737,0.06330014200555982
timeperiod: 35; std: 2.5,0.0018229108353663497,-0.07027950345661074
timeperiod: 35; std: 3,0.0016339991304795056,-0.15214306795279056
timeperiod: 40; std: 0.5,0.0014990248804230275,0.11755920105923243
timeperiod: 40; std: 1,0.0018142611008472164,0.17248604882085378
timeperiod: 40; std: 1.5,0.001730953996766031,0.07119070942425766
timeperiod: 40; std: 2,0.001748680516379386,0.0676863969677031
timeperiod: 40; std: 2.5,0.002317880463847519,-0.05341770340911663
timeperiod: 40; std: 3,,-0.16692407738053577
timeperiod: 45; std: 0.5,0.0015526482653625594,0.11575819526936584
timeperiod: 45; std: 1,0.0011224248969943277,0.12513252978157743
timeperiod: 45; std: 1.5,0.0018131951636714452,0.10925958204465444
timeperiod: 45; std: 2,0.0018031693330844293,0.032180320031411684
timeperiod: 45; std: 2.5,0.0016889482507504825,0.012904975207723043
timeperiod: 45; std: 3,,-0.15390551323171847
timeperiod: 50; std: 0.5,0.0013899630721732655,0.09849818743672846
timeperiod: 50; std: 1,0.0011306367502994645,0.14967914594212434
timeperiod: 50; std: 1.5,0.002073557895192016,0.11067291240191562
timeperiod: 50; std: 2,0.0017024195651946243,0.06729488233007158
timeperiod: 50; std: 2.5,0.00204097358231264,-0.002519274311967325
timeperiod: 50; std: 3,0.0016328888500224956,-0.13969508119597268
timeperiod: 55; std: 0.5,0.0015826477468083523,0.09989618186920313
timeperiod: 55; std: 1,0.0015382046613335513,0.1411502581399916
timeperiod: 55; std: 1.5,0.0020027672324683375,0.09295081059021564
timeperiod: 55; std: 2,0.0018817397041366048,0.04679148504814817
timeperiod: 55; std: 2.5,0.0021987133034029145,0.011022015767374667
timeperiod: 55; std: 3,0.0016328888500224956,-0.14184547588300836
timeperiod: 5; std: 0.5,0.0010178600977868621,0.18651717657023764
timeperiod: 5; std: 1,0.0013059606445582634,0.04920052456853137
timeperiod: 5; std: 1.5,0.0012685466348461754,0.0017858930113435977
timeperiod: 5; std: 2,,
timeperiod: 5; std: 2.5,,
timeperiod: 5; std: 3,,
timeperiod: 60; std: 0.5,0.0015524936213233943,0.09617848228610762
timeperiod: 60; std: 1,0.001445641693309428,0.11739573297953648
timeperiod: 60; std: 1.5,0.0021173532122276415,0.1124025551912098
timeperiod: 60; std: 2,0.0016510168633885112,0.033528254133498546
timeperiod: 60; std: 2.5,0.00204097358231264,0.014805153922183775
timeperiod: 60; std: 3,0.0016328888500224956,-0.21192744795383062
timeperiod: 65; std: 0.5,0.001455120715376861,0.08155315973315004
timeperiod: 65; std: 1,0.001289239836400561,0.14069235684800557
timeperiod: 65; std: 1.5,0.0020157233763258855,0.1265483141371934
timeperiod: 65; std: 2,0.0016768553349960393,0.03199188340682595
timeperiod: 65; std: 2.5,0.0018456337979458025,-0.02098644491321362
timeperiod: 65; std: 3,0.0016328888500224956,-0.17192953963789315
timeperiod: 70; std: 0.5,0.0012034053749148193,0.10420715158190277
timeperiod: 70; std: 1,0.0013801017846708325,0.16313674903846007
timeperiod: 70; std: 1.5,0.001910490924043092,0.1377124424020118
timeperiod: 70; std: 2,0.0018967805205122362,0.06658002096334896
timeperiod: 70; std: 2.5,0.0018456337979458025,0.024703244104436434
timeperiod: 70; std: 3,0.0016328888500224956,-0.14661474084602688
timeperiod: 75; std: 0.5,0.001265583921130882,0.12048775649005874
timeperiod: 75; std: 1,0.0013428711298298665,0.15509354258714766
timeperiod: 75; std: 1.5,0.001591399496318089,0.1483420422189346
timeperiod: 75; std: 2,0.002004875145443211,0.08593625814715015
timeperiod: 75; std: 2.5,0.002221161593977133,-0.062343219011946546
timeperiod: 75; std: 3,0.0018967486898694482,-0.27801406286395985
timeperiod: 80; std: 0.5,0.001257072490786876,0.1327667879857469
timeperiod: 80; std: 1,0.00135978594910958,0.1537662745860264
timeperiod: 80; std: 1.5,0.0012519407045714522,0.14648691674530714
timeperiod: 80; std: 2,0.0022241399912620668,0.15702162479750487
timeperiod: 80; std: 2.5,0.0021954103262514253,-0.11416342399756065
timeperiod: 80; std: 3,,-0.21110711265181856
timeperiod: 85; std: 0.5,0.0014380295782320143,0.09946228424696348
timeperiod: 85; std: 1,0.0014882814203504052,0.13522696595691636
timeperiod: 85; std: 1.5,0.0012942913115786372,0.1258980283566941
timeperiod: 85; std: 2,0.0021540355430555583,0.13355588114979988
timeperiod: 85; std: 2.5,0.002095675764279454,-0.03470754950895619
timeperiod: 85; std: 3,,-0.15255086648922642
timeperiod: 90; std: 0.5,0.001563376621203115,0.0790974647575049
timeperiod: 90; std: 1,0.0017214628762132807,0.08433628598763852
timeperiod: 90; std: 1.5,0.0016379946369745432,0.08992748960546408
timeperiod: 90; std: 2,0.0015334206765076604,0.10963996397013187
timeperiod: 90; std: 2.5,0.0015508267197714076,-0.10026676909252859
timeperiod: 90; std: 3,,-0.22422787577071646
timeperiod: 95; std: 0.5,0.0016775199719265448,0.09590832739845756
timeperiod: 95; std: 1,0.001622017432917311,0.09201659601645952
timeperiod: 95; std: 1.5,0.0017030271212001027,0.11216205220318995
timeperiod: 95; std: 2,0.002368305882248944,0.11799734632687904
timeperiod: 95; std: 2.5,0.001205448087728145,-0.12807570790909853
timeperiod: 95; std: 3,,-0.23109465682099112
