,年化收益率,季度胜率,夏普比率,卡玛比率,timeperiod,std
绩效数据,0.006933969126384332,0.5,-0.3050802397766834,0.025533528512802835,5,0.5
绩效数据,0.01687041163727132,0.6190476190476191,-0.25732257890881344,0.0794840621794748,5,1.0
绩效数据,-0.020375838324783846,0.42857142857142855,-0.9985875980718556,-0.07561175636558731,5,1.5
绩效数据,0.0,0.0,-inf,,5,2.0
绩效数据,0.0,0.0,-inf,,5,2.5
绩效数据,0.0,0.0,-inf,,5,3.0
绩效数据,0.06899282674315299,0.6428571428571429,0.27134458864391686,0.3785952306051151,10,0.5
绩效数据,0.039330614899434346,0.5476190476190477,-0.007608570497949299,0.28913845662719834,10,1.0
绩效数据,0.0019812519510824522,0.5714285714285714,-0.596799317985649,0.011710202299486118,10,1.5
绩效数据,-0.006132616867843055,0.5,-1.1374356132454326,-0.05739013564436122,10,2.0
绩效数据,-0.0011247570888254232,0.3333333333333333,-2.048146792567767,-0.025882100622554482,10,2.5
绩效数据,0.0,0.0,-inf,,10,3.0
绩效数据,0.05469795330909877,0.6428571428571429,0.13835561742774358,0.28375695747177987,15,0.5
绩效数据,0.03817369705872897,0.5476190476190477,-0.02013382999956798,0.24269312429902723,15,1.0
绩效数据,0.022643381270731844,0.5238095238095238,-0.2630768544266557,0.143862741709199,15,1.5
绩效数据,0.013136359929706964,0.5714285714285714,-0.6012994320850525,0.20616988466838615,15,2.0
绩效数据,-0.007313492413957179,0.40476190476190477,-1.766984112488462,-0.07546715768815085,15,2.5
绩效数据,0.0003912940092583028,0.11904761904761904,-4.356866778680646,0.01827206742070276,15,3.0
绩效数据,0.06733414818294947,0.5952380952380952,0.2503357155488286,0.36608027028579726,20,0.5
绩效数据,0.047935969072821605,0.5714285714285714,0.08783155102233024,0.2794862502708056,20,1.0
绩效数据,0.027537140673904226,0.5476190476190477,-0.1834280434410692,0.16663742920918964,20,1.5
绩效数据,0.002452255964671135,0.5,-0.8756016008326987,0.02049159224224078,20,2.0
绩效数据,0.0005716329661815678,0.2619047619047619,-1.7388733542779833,0.008685762628589291,20,2.5
绩效数据,3.723145286471663e-05,0.11904761904761904,-3.67870358907549,0.0012660529845309326,20,3.0
绩效数据,0.044077984160308725,0.5476190476190477,0.03795622991030523,0.24206366240660945,25,0.5
绩效数据,0.05671612381595237,0.6190476190476191,0.18637152673343832,0.3846491563491974,25,1.0
绩效数据,0.024392212627425636,0.5238095238095238,-0.23896729326202684,0.13611115818882782,25,1.5
绩效数据,0.005797641178884705,0.5,-0.8366189308461294,0.05321507713066627,25,2.0
绩效数据,-0.0051431173035557665,0.3333333333333333,-1.8257401557269584,-0.044913704009465434,25,2.5
绩效数据,-0.002183185494820883,0.07142857142857142,-4.686675893055259,-0.05940778507312288,25,3.0
绩效数据,0.04399176451970721,0.5952380952380952,0.03783965358697508,0.27229719052719104,30,0.5
绩效数据,0.0653766197333201,0.6428571428571429,0.27295247603566736,0.4899165789821351,30,1.0
绩效数据,0.04233727072385851,0.6666666666666666,0.035298676097642416,0.37547216812926626,30,1.5
绩效数据,0.011229080242098233,0.5,-0.6605114858448929,0.10499250720858866,30,2.0
绩效数据,-0.004792849631387153,0.30952380952380953,-1.7905401481890142,-0.0524037072659865,30,2.5
绩效数据,-0.0022229892379918015,0.09523809523809523,-4.082206873200796,-0.04206340886449515,30,3.0
绩效数据,0.05834458188177294,0.6666666666666666,0.17525276513796528,0.40408441830671316,35,0.5
绩效数据,0.03611238878680045,0.5476190476190477,-0.0417486435945937,0.1739396453212836,35,1.0
绩效数据,0.039050313793513425,0.5952380952380952,-0.013981404851215061,0.30745495715505383,35,1.5
绩效数据,0.006601504162564886,0.47619047619047616,-0.7669091707282507,0.05815640645162856,35,2.0
绩效数据,-0.0013113567350054867,0.30952380952380953,-1.5233385276590699,-0.018382942233597144,35,2.5
绩效数据,0.0011324586389211966,0.11904761904761904,-4.435407754908772,0.04921324633377861,35,3.0
绩效数据,0.06973800071067382,0.6190476190476191,0.28300337185476887,0.44382646245165763,40,0.5
绩效数据,0.04025414669581395,0.5714285714285714,0.002780949949590198,0.2062974923876957,40,1.0
绩效数据,0.04737128729473583,0.5952380952380952,0.10745895410080526,0.37583113173077815,40,1.5
绩效数据,0.015428971833438387,0.5714285714285714,-0.556848644646311,0.19795580276466412,40,2.0
绩效数据,0.0026344888035632064,0.38095238095238093,-1.367816106763046,0.03829269634540194,40,2.5
绩效数据,0.00135420345308912,0.16666666666666666,-3.109817057699585,0.06148457564596066,40,3.0
绩效数据,0.07015554531238166,0.5952380952380952,0.2876973535116912,0.32774706912421003,45,0.5
绩效数据,0.04154705954249316,0.5714285714285714,0.0168411621182792,0.22608621185750263,45,1.0
绩效数据,0.04694014549543568,0.6428571428571429,0.10133858242924962,0.43186869207233985,45,1.5
绩效数据,0.01060226930725472,0.5238095238095238,-0.6470816269890172,0.09315923722187568,45,2.0
绩效数据,0.005177019333306054,0.2619047619047619,-1.2846705794989008,0.08188151064094198,45,2.5
绩效数据,-0.0010749954366687797,0.09523809523809523,-4.128714405884954,-0.023083295836678848,45,3.0
绩效数据,0.06127526836219643,0.6666666666666666,0.2005575154240534,0.4418364722007895,50,0.5
绩效数据,0.037046620907968286,0.6666666666666666,-0.03239452196196191,0.1654514107837347,50,1.0
绩效数据,0.04841133705821066,0.6190476190476191,0.12081213262997989,0.47037194732315235,50,1.5
绩效数据,0.013884988531313036,0.5,-0.5734032053372611,0.1348471928150127,50,2.0
绩效数据,0.002526338586845478,0.2857142857142857,-1.4295906504236915,0.038708558009297886,50,2.5
绩效数据,-0.0012147822137492659,0.09523809523809523,-4.285714738697931,-0.02560920710687319,50,3.0
绩效数据,0.07262893413830551,0.6666666666666666,0.30912578463814233,0.49325638933301663,55,0.5
绩效数据,0.044973429123781106,0.6428571428571429,0.055006921313973306,0.1938245200369518,55,1.0
绩效数据,0.06198192570104388,0.6428571428571429,0.3023371323744367,0.6161996674293592,55,1.5
绩效数据,0.019197231620922572,0.47619047619047616,-0.44668786257934723,0.22696873727547198,55,2.0
绩效数据,0.002153084277497941,0.3333333333333333,-1.3729482962210768,0.028191960071579567,55,2.5
绩效数据,0.0007247634426288396,0.14285714285714285,-4.103409837462059,0.021022426989327492,55,3.0
绩效数据,0.07477928661304523,0.6428571428571429,0.32606675630082066,0.4620962840390451,60,0.5
绩效数据,0.050443648625719595,0.5952380952380952,0.11503661181938607,0.2117516364253835,60,1.0
绩效数据,0.054357372945508464,0.6190476190476191,0.19300971202080577,0.461413002472429,60,1.5
绩效数据,0.01457295618980825,0.5952380952380952,-0.546795788007387,0.1446408914213977,60,2.0
绩效数据,0.004106138093284306,0.30952380952380953,-1.3391263188787903,0.04679201258199601,60,2.5
绩效数据,0.001679273164052253,0.14285714285714285,-3.121086509794482,0.07400081023298322,60,3.0
绩效数据,0.07686282644467868,0.5952380952380952,0.3432099467990072,0.3954434132763733,65,0.5
绩效数据,0.03682108474065604,0.5238095238095238,-0.03490606009171693,0.14223596316019593,65,1.0
绩效数据,0.0413577005796788,0.5952380952380952,0.018175188248541294,0.30357676343541523,65,1.5
绩效数据,0.011982313638743358,0.5476190476190477,-0.6108867433683967,0.11051985982435059,65,2.0
绩效数据,0.006162238348968785,0.2619047619047619,-1.3542189687859167,0.1190403541636888,65,2.5
绩效数据,0.001597603637347511,0.14285714285714285,-2.9821814821599317,0.06385594653030684,65,3.0
绩效数据,0.06165631373672231,0.5238095238095238,0.19997922555006484,0.31974286545664005,70,0.5
绩效数据,0.0296585888440144,0.5476190476190477,-0.11313269088234512,0.11231946493458632,70,1.0
绩效数据,0.041303275373956616,0.6428571428571429,0.01748828202720412,0.3385876040690778,70,1.5
绩效数据,0.021371262493398824,0.5238095238095238,-0.40637294917173156,0.1781173552198302,70,2.0
绩效数据,0.00372883023451398,0.2857142857142857,-1.3696765587090376,0.054510417044793376,70,2.5
绩效数据,-0.0027720655928631377,0.11904761904761904,-3.811583190862863,-0.07724113798382753,70,3.0
绩效数据,0.05612717193679395,0.5476190476190477,0.1495548062590572,0.30023446167997914,75,0.5
绩效数据,0.03203734644813694,0.5714285714285714,-0.08678913194497966,0.13117693503479502,75,1.0
绩效数据,0.034526711622281825,0.5714285714285714,-0.07341012399704634,0.2429806725303711,75,1.5
绩效数据,0.017815256554360115,0.5,-0.4888470842280115,0.10994185670289282,75,2.0
绩效数据,0.001602387612797962,0.2857142857142857,-1.459155661869578,0.02299835321818375,75,2.5
