,年化收益率,季度胜率,夏普比率,卡玛比率,cmo_length,m_length
绩效数据,-0.056861366,0.452380952,-0.440256223,-0.072705991,190,170
绩效数据,-0.056469717,0.452380952,-0.440243325,-0.070959859,205,215
绩效数据,-0.056474012,0.452380952,-0.438707361,-0.073171083,210,165
绩效数据,-0.056404527,0.452380952,-0.438391286,-0.072361476,215,160
绩效数据,-0.055813327,0.476190476,-0.438121832,-0.072343962,220,210
绩效数据,-0.056046998,0.452380952,-0.437875931,-0.070795026,200,215
绩效数据,-0.056189277,0.476190476,-0.437354708,-0.073417391,185,185
绩效数据,-0.055834752,0.380952381,-0.437344787,-0.071597609,195,225
绩效数据,-0.05603629,0.452380952,-0.436763425,-0.074003748,210,170
绩效数据,-0.05489492,0.380952381,-0.436353454,-0.072104475,210,235
绩效数据,-0.055420559,0.380952381,-0.436111153,-0.071412825,195,230
绩效数据,-0.055812419,0.476190476,-0.435791668,-0.072941562,200,185
绩效数据,-0.055798088,0.452380952,-0.435421986,-0.071036205,195,165
绩效数据,-0.055410471,0.476190476,-0.434973186,-0.071056357,220,195
绩效数据,-0.055439704,0.428571429,-0.434638174,-0.073941332,185,205
绩效数据,-0.055309729,0.476190476,-0.433458163,-0.072667568,200,180
绩效数据,-0.055206357,0.476190476,-0.43303429,-0.072554138,195,190
绩效数据,-0.054990535,0.428571429,-0.432999254,-0.07139725,200,210
绩效数据,-0.054977395,0.476190476,-0.432894891,-0.070401739,220,185
绩效数据,-0.054902302,0.428571429,-0.432655812,-0.070095388,195,220
绩效数据,-0.054851702,0.476190476,-0.432152754,-0.071414352,215,180
绩效数据,-0.054816104,0.476190476,-0.431797463,-0.072539902,215,175
绩效数据,-0.054634113,0.476190476,-0.431432815,-0.069721115,225,190
绩效数据,-0.0548724,0.476190476,-0.431422112,-0.072787088,185,190
绩效数据,-0.05459089,0.476190476,-0.431132767,-0.070784819,235,170
绩效数据,-0.054535995,0.428571429,-0.430825316,-0.070549707,195,205
绩效数据,-0.054443976,0.452380952,-0.430102312,-0.072399981,230,160
绩效数据,-0.05410436,0.476190476,-0.429445908,-0.06919431,230,190
绩效数据,-0.055124266,0.428571429,-0.429318382,-0.071278539,35,200
绩效数据,-0.055026897,0.452380952,-0.429028673,-0.078387747,40,210
绩效数据,-0.05409414,0.476190476,-0.428811121,-0.06979118,205,195
绩效数据,-0.054963031,0.428571429,-0.428422887,-0.072626839,40,180
绩效数据,-0.05358628,0.404761905,-0.427935506,-0.069016058,210,220
绩效数据,-0.054076888,0.452380952,-0.427849822,-0.070710279,215,165
绩效数据,-0.053374406,0.452380952,-0.426966429,-0.06830165,215,215
绩效数据,-0.053611888,0.476190476,-0.426612795,-0.067899883,220,180
绩效数据,-0.053664938,0.476190476,-0.42597583,-0.071185414,190,190
绩效数据,-0.05341144,0.428571429,-0.425755574,-0.069756233,190,215
绩效数据,-0.053361855,0.380952381,-0.425631112,-0.069689277,185,230
绩效数据,-0.052482861,0.404761905,-0.425517221,-0.070006515,235,215
绩效数据,-0.05304425,0.452380952,-0.425456361,-0.069358454,225,205
绩效数据,-0.053292374,0.476190476,-0.425156316,-0.069218415,210,190
绩效数据,-0.052381539,0.380952381,-0.425050912,-0.06899832,215,235
绩效数据,-0.053471238,0.452380952,-0.424992967,-0.069832933,205,165
绩效数据,-0.053149295,0.428571429,-0.42460403,-0.068843908,190,220
绩效数据,-0.053142114,0.452380952,-0.423429332,-0.070400221,190,175
绩效数据,-0.052686607,0.476190476,-0.422097111,-0.068395036,205,185
绩效数据,-0.052471743,0.476190476,-0.421993536,-0.067795447,235,185
绩效数据,-0.052489039,0.476190476,-0.421197158,-0.068420299,210,180
绩效数据,-0.052354512,0.476190476,-0.42098025,-0.067447246,220,190
绩效数据,-0.052239253,0.452380952,-0.420355789,-0.068405657,185,215
绩效数据,-0.052355464,0.428571429,-0.420064024,-0.070989479,180,205
绩效数据,-0.052352175,0.452380952,-0.419903564,-0.067904505,210,160
绩效数据,-0.051993959,0.404761905,-0.419812644,-0.067208209,200,220
绩效数据,-0.052352123,0.452380952,-0.419755306,-0.068956177,180,180
绩效数据,-0.052939256,0.452380952,-0.41956888,-0.075409149,40,205
绩效数据,-0.051638952,0.404761905,-0.419028869,-0.067041121,195,235
绩效数据,-0.052117606,0.452380952,-0.418937022,-0.068062932,220,160
绩效数据,-0.051932101,0.476190476,-0.418847414,-0.067970005,205,190
绩效数据,-0.051737924,0.476190476,-0.418126046,-0.066811743,215,190
绩效数据,-0.051501797,0.476190476,-0.417049561,-0.065227437,225,180
绩效数据,-0.051245631,0.476190476,-0.415981025,-0.066211266,230,185
绩效数据,-0.051422437,0.452380952,-0.415729872,-0.067910512,205,170
绩效数据,-0.05108863,0.428571429,-0.415003616,-0.068397449,185,210
绩效数据,-0.050946939,0.428571429,-0.414172747,-0.069504712,180,210
绩效数据,-0.051050757,0.452380952,-0.414128371,-0.067887654,225,160
绩效数据,-0.050605569,0.452380952,-0.41196032,-0.067039924,195,175
绩效数据,-0.050488148,0.452380952,-0.411480361,-0.066344697,200,175
绩效数据,-0.05034619,0.476190476,-0.410879038,-0.066683674,195,185
绩效数据,-0.050141254,0.476190476,-0.410847036,-0.065344155,230,175
绩效数据,-0.050188015,0.452380952,-0.410061387,-0.06619589,200,170
绩效数据,-0.049899439,0.404761905,-0.409786706,-0.065734756,185,225
绩效数据,-0.049866233,0.476190476,-0.409433077,-0.064927412,210,185
绩效数据,-0.048824907,0.404761905,-0.409006917,-0.064545608,225,230
绩效数据,-0.049817437,0.452380952,-0.408311683,-0.065461946,180,185
绩效数据,-0.049794238,0.452380952,-0.407986128,-0.065244032,180,170
绩效数据,-0.049755348,0.452380952,-0.407949879,-0.065513522,175,185
绩效数据,-0.049692454,0.452380952,-0.40786128,-0.063976661,220,155
绩效数据,-0.048902378,0.428571429,-0.406313298,-0.063252374,210,215
绩效数据,-0.04932714,0.452380952,-0.40594811,-0.064855602,185,170
绩效数据,-0.048965464,0.476190476,-0.405147145,-0.064268778,200,190
绩效数据,-0.04878949,0.476190476,-0.404630935,-0.063083421,215,185
绩效数据,-0.049013892,0.452380952,-0.404579159,-0.064105254,185,175
绩效数据,-0.04763483,0.404761905,-0.40320629,-0.062924702,220,230
绩效数据,-0.048635437,0.452380952,-0.402937178,-0.064148105,195,170
绩效数据,-0.047522266,0.404761905,-0.402688284,-0.064995162,225,225
绩效数据,-0.047307566,0.428571429,-0.402468916,-0.062194907,230,230
绩效数据,-0.048243052,0.452380952,-0.401216321,-0.064586256,190,180
绩效数据,-0.048495759,0.428571429,-0.399504668,-0.067066174,35,210
绩效数据,-0.047847734,0.452380952,-0.399355568,-0.062857335,170,195
绩效数据,-0.047710437,0.452380952,-0.398794195,-0.063278329,170,200
绩效数据,-0.047244741,0.380952381,-0.398735844,-0.062810884,190,235
绩效数据,-0.049036721,0.428571429,-0.398690487,-0.061981676,25,160
绩效数据,-0.048889243,0.547619048,-0.398606098,-0.061390577,60,130
绩效数据,-0.047285326,0.380952381,-0.397922594,-0.0636653,180,235
绩效数据,-0.047451098,0.476190476,-0.397667061,-0.063653418,190,185
绩效数据,-0.047749556,0.428571429,-0.396070528,-0.067599697,50,190
绩效数据,-0.046596871,0.452380952,-0.393668088,-0.060408631,205,160
绩效数据,-0.046497222,0.452380952,-0.393085055,-0.062682198,170,185
绩效数据,-0.046276977,0.452380952,-0.392411377,-0.059526441,230,155
绩效数据,-0.045809155,0.404761905,-0.391582727,-0.060746213,185,235
绩效数据,-0.045795454,0.404761905,-0.391520194,-0.060514158,190,230
绩效数据,-0.045628379,0.404761905,-0.391347222,-0.059858917,205,220
绩效数据,-0.04583988,0.404761905,-0.390226221,-0.064581299,145,220
绩效数据,-0.045784971,0.452380952,-0.390089313,-0.061538892,175,200
绩效数据,-0.046329242,0.452380952,-0.390000293,-0.063492275,30,235
绩效数据,-0.045386375,0.452380952,-0.388225476,-0.064343285,150,220
绩效数据,-0.045257467,0.476190476,-0.387639264,-0.058200307,215,155
绩效数据,-0.046477453,0.428571429,-0.387120387,-0.05802955,25,155
绩效数据,-0.045120123,0.452380952,-0.38687828,-0.058024051,200,160
绩效数据,-0.043324718,0.404761905,-0.38367598,-0.058588088,220,235
绩效数据,-0.044352416,0.452380952,-0.383615396,-0.057547496,225,155
绩效数据,-0.044260695,0.452380952,-0.382771944,-0.057590252,185,160
绩效数据,-0.044034947,0.428571429,-0.382212339,-0.061732392,175,210
绩效数据,-0.042816117,0.404761905,-0.381031697,-0.05833984,230,220
绩效数据,-0.044274604,0.428571429,-0.380288977,-0.060386477,35,195
绩效数据,-0.043052552,0.380952381,-0.378571243,-0.058955526,180,230
绩效数据,-0.042614858,0.476190476,-0.376575846,-0.055609465,230,180
绩效数据,-0.042765505,0.428571429,-0.376397418,-0.060449524,175,205
绩效数据,-0.04259398,0.452380952,-0.376294815,-0.05813999,180,215
绩效数据,-0.043637449,0.452380952,-0.375051649,-0.056244456,35,155
