,年化收益率,季度胜率,夏普比率,卡玛比率,cmo_length,m_length
绩效数据,-0.028291816,0.404761905,-0.31121043,-0.041810244,170,230
绩效数据,-0.02889242,0.452380952,-0.310871635,-0.044764596,55,175
绩效数据,-0.028645208,0.476190476,-0.31067344,-0.041418136,165,125
绩效数据,-0.028305947,0.452380952,-0.310634111,-0.042881454,155,225
绩效数据,-0.028470497,0.5,-0.310231999,-0.041390377,65,230
绩效数据,-0.028267061,0.476190476,-0.31011195,-0.040781975,205,140
绩效数据,-0.028351975,0.5,-0.309694977,-0.040054309,155,140
绩效数据,-0.028145414,0.476190476,-0.309230501,-0.040036917,185,135
绩效数据,-0.028059861,0.476190476,-0.308950799,-0.040038118,190,135
绩效数据,-0.028066583,0.476190476,-0.308822563,-0.040355368,180,135
绩效数据,-0.027810949,0.428571429,-0.30803995,-0.039878017,165,180
绩效数据,-0.027930524,0.428571429,-0.308004312,-0.039837487,90,215
绩效数据,-0.028133111,0.452380952,-0.307867649,-0.041347964,100,170
绩效数据,-0.028116474,0.428571429,-0.307546285,-0.044064103,45,210
绩效数据,-0.027749767,0.476190476,-0.307543123,-0.039983982,185,140
绩效数据,-0.027948748,0.452380952,-0.30752133,-0.040512738,65,225
绩效数据,-0.027797526,0.476190476,-0.307252035,-0.039500994,160,140
绩效数据,-0.027509061,0.452380952,-0.307010031,-0.037897111,235,145
绩效数据,-0.027366284,0.452380952,-0.306992614,-0.039805844,180,220
绩效数据,-0.027561653,0.428571429,-0.306961706,-0.040638277,160,190
绩效数据,-0.02745892,0.428571429,-0.306391984,-0.038914857,155,180
绩效数据,-0.027857081,0.452380952,-0.306325647,-0.04189607,110,135
绩效数据,-0.027337089,0.476190476,-0.305778543,-0.038966179,195,135
绩效数据,-0.027235923,0.5,-0.305694709,-0.041338927,140,230
绩效数据,-0.027368626,0.428571429,-0.305655815,-0.039933768,125,190
绩效数据,-0.027440408,0.476190476,-0.305220643,-0.040369741,70,220
绩效数据,-0.027646235,0.476190476,-0.305207379,-0.038005564,75,150
绩效数据,-0.026992922,0.452380952,-0.30507589,-0.041931419,155,235
绩效数据,-0.027642242,0.5,-0.304898565,-0.037848191,55,155
绩效数据,-0.027007021,0.5,-0.304605919,-0.041224982,140,225
绩效数据,-0.027070582,0.452380952,-0.304459969,-0.039097706,175,150
绩效数据,-0.027009673,0.404761905,-0.304291717,-0.040541205,120,210
绩效数据,-0.027117328,0.452380952,-0.304100809,-0.038853242,90,205
绩效数据,-0.026900743,0.452380952,-0.30395885,-0.038544507,210,140
绩效数据,-0.026948926,0.523809524,-0.303337784,-0.037441917,75,220
绩效数据,-0.026815238,0.428571429,-0.303145009,-0.037274631,190,125
绩效数据,-0.027175918,0.452380952,-0.30312588,-0.040562657,50,180
绩效数据,-0.026653955,0.452380952,-0.302774559,-0.036450696,180,160
绩效数据,-0.026729811,0.428571429,-0.302757414,-0.039166398,145,170
绩效数据,-0.026661455,0.476190476,-0.302496449,-0.03806508,190,130
绩效数据,-0.026493668,0.476190476,-0.302007823,-0.03840721,200,135
绩效数据,-0.026839474,0.5,-0.301430272,-0.038129857,50,165
绩效数据,-0.026382183,0.428571429,-0.301335002,-0.037535905,145,180
绩效数据,-0.026393476,0.428571429,-0.301158819,-0.037891777,90,220
绩效数据,-0.026244529,0.428571429,-0.300876239,-0.037278143,160,175
绩效数据,-0.026619751,0.428571429,-0.300788451,-0.039638572,95,160
绩效数据,-0.025912909,0.476190476,-0.299311225,-0.03776105,190,140
绩效数据,-0.025924215,0.547619048,-0.298694872,-0.037582692,225,70
绩效数据,-0.025762892,0.452380952,-0.298688665,-0.036811261,190,145
绩效数据,-0.026547836,0.404761905,-0.298412734,-0.035075984,30,160
绩效数据,-0.025623799,0.428571429,-0.298157063,-0.037940044,165,185
绩效数据,-0.025566528,0.5,-0.298143684,-0.038898093,145,230
绩效数据,-0.025621563,0.428571429,-0.297988204,-0.03666599,160,170
绩效数据,-0.025929926,0.476190476,-0.297838014,-0.038708105,115,150
绩效数据,-0.02592069,0.428571429,-0.29779629,-0.04078476,45,220
绩效数据,-0.025528963,0.476190476,-0.297673571,-0.034533965,190,155
绩效数据,-0.025438549,0.428571429,-0.297475736,-0.037258345,155,210
绩效数据,-0.025885888,0.404761905,-0.297427,-0.038331759,55,190
绩效数据,-0.025425518,0.428571429,-0.296839682,-0.037422183,140,175
绩效数据,-0.02539952,0.476190476,-0.296721727,-0.037282605,195,120
绩效数据,-0.025305043,0.452380952,-0.296647076,-0.035681103,215,125
绩效数据,-0.025435707,0.476190476,-0.296481481,-0.0364044,80,215
绩效数据,-0.025422786,0.523809524,-0.296422939,-0.037471453,70,225
绩效数据,-0.025263009,0.428571429,-0.296359993,-0.036053792,145,185
绩效数据,-0.025260562,0.452380952,-0.296091259,-0.037982616,170,145
绩效数据,-0.025327806,0.404761905,-0.296059334,-0.036351228,125,175
绩效数据,-0.025042389,0.452380952,-0.295674826,-0.035927012,165,200
绩效数据,-0.025411445,0.476190476,-0.295285215,-0.03738403,75,170
绩效数据,-0.025397238,0.428571429,-0.29526874,-0.040012777,55,200
绩效数据,-0.025233632,0.428571429,-0.294505032,-0.038193508,55,195
绩效数据,-0.024726649,0.452380952,-0.294080898,-0.033808272,200,150
绩效数据,-0.025509915,0.5,-0.293758468,-0.033772849,80,110
绩效数据,-0.025048322,0.452380952,-0.293597902,-0.037380873,55,185
绩效数据,-0.02441628,0.5,-0.292913249,-0.037593519,140,235
绩效数据,-0.024367543,0.452380952,-0.29255005,-0.033072607,210,150
绩效数据,-0.024609619,0.452380952,-0.292408967,-0.036477833,80,210
绩效数据,-0.024309889,0.428571429,-0.29212658,-0.034267852,170,170
绩效数据,-0.024326225,0.428571429,-0.292106025,-0.034418784,155,175
绩效数据,-0.024609157,0.5,-0.292078661,-0.036361413,70,205
绩效数据,-0.024719222,0.476190476,-0.292001092,-0.037075295,35,190
绩效数据,-0.025106498,0.523809524,-0.291527565,-0.033197958,40,145
绩效数据,-0.02418532,0.428571429,-0.291260143,-0.035502366,150,170
绩效数据,-0.024063571,0.476190476,-0.291068244,-0.03256433,195,155
绩效数据,-0.02483945,0.5,-0.290908597,-0.034079335,90,110
绩效数据,-0.02430815,0.5,-0.290583902,-0.036676915,70,200
绩效数据,-0.024267799,0.476190476,-0.290074979,-0.034409344,95,145
绩效数据,-0.023775107,0.452380952,-0.289697339,-0.036553785,120,220
绩效数据,-0.023693334,0.428571429,-0.289325889,-0.03412352,165,175
绩效数据,-0.023692444,0.428571429,-0.289023572,-0.035939609,135,185
绩效数据,-0.023601369,0.476190476,-0.288917201,-0.033949546,210,135
绩效数据,-0.023883859,0.452380952,-0.288908653,-0.036084754,70,210
绩效数据,-0.024527734,0.428571429,-0.288855379,-0.033227995,30,150
绩效数据,-0.023905822,0.5,-0.288765938,-0.035742733,125,145
绩效数据,-0.023534892,0.428571429,-0.288615219,-0.034496962,225,120
绩效数据,-0.023672356,0.5,-0.288556976,-0.035983352,65,235
绩效数据,-0.023488432,0.404761905,-0.288199051,-0.034073712,110,215
绩效数据,-0.023891826,0.547619048,-0.288136994,-0.032724039,125,90
绩效数据,-0.024897611,0.547619048,-0.288060958,-0.03558831,10,80
绩效数据,-0.024227966,0.547619048,-0.288009966,-0.032882712,85,105
绩效数据,-0.023405861,0.428571429,-0.287983222,-0.035406131,140,195
绩效数据,-0.024177037,0.547619048,-0.287909309,-0.033691993,65,130
绩效数据,-0.023438053,0.476190476,-0.287634776,-0.033191175,80,225
绩效数据,-0.023311137,0.452380952,-0.287293282,-0.035091978,120,200
绩效数据,-0.024133161,0.547619048,-0.287169252,-0.032625944,65,120
绩效数据,-0.023014921,0.476190476,-0.286151392,-0.033257267,210,120
绩效数据,-0.023096414,0.452380952,-0.285347522,-0.035692847,130,150
绩效数据,-0.022953998,0.428571429,-0.285301458,-0.032525363,85,215
绩效数据,-0.022812213,0.428571429,-0.285029275,-0.034206264,130,190
绩效数据,-0.022708209,0.428571429,-0.284859928,-0.033586016,170,175
绩效数据,-0.022787101,0.428571429,-0.284800354,-0.0339669,135,175
绩效数据,-0.022777231,0.5,-0.284500372,-0.032482616,180,120
绩效数据,-0.022892004,0.452380952,-0.284423103,-0.033917745,75,205
绩效数据,-0.023481581,0.571428571,-0.284251684,-0.031021062,80,105
绩效数据,-0.022679445,0.428571429,-0.284195186,-0.032108787,95,210
绩效数据,-0.022887391,0.547619048,-0.284164059,-0.032813393,200,70
绩效数据,-0.022575168,0.428571429,-0.284154483,-0.032119381,150,180
绩效数据,-0.0227487,0.380952381,-0.283466834,-0.035096837,55,210
绩效数据,-0.022797561,0.404761905,-0.283408115,-0.035094471,55,180
绩效数据,-0.022498952,0.452380952,-0.283376818,-0.032542338,180,125
绩效数据,-0.022767116,0.476190476,-0.283369665,-0.033243759,75,175
绩效数据,-0.022718377,0.523809524,-0.283173687,-0.032927799,65,190
绩效数据,-0.02251663,0.452380952,-0.282725524,-0.033105474,50,230
绩效数据,-0.022235677,0.428571429,-0.282713405,-0.034364503,150,195
绩效数据,-0.022975966,0.571428571,-0.282395801,-0.030826605,55,135
绩效数据,-0.023111044,0.452380952,-0.282378528,-0.031891257,30,145
绩效数据,-0.022057611,0.452380952,-0.281859639,-0.031222273,210,125
绩效数据,-0.022065479,0.404761905,-0.281640777,-0.032837106,110,210
绩效数据,-0.022137039,0.547619048,-0.281599112,-0.032092371,230,70
绩效数据,-0.022033416,0.452380952,-0.281495283,-0.033323509,175,145
绩效数据,-0.022607977,0.547619048,-0.28127311,-0.031911744,105,100
绩效数据,-0.021977062,0.5,-0.281126076,-0.031787585,170,140
绩效数据,-0.021836293,0.428571429,-0.280948817,-0.031549657,225,125
绩效数据,-0.022233627,0.452380952,-0.280786595,-0.03434551,55,170
绩效数据,-0.021783229,0.428571429,-0.280613436,-0.032191356,115,220
绩效数据,-0.022151598,0.476190476,-0.280383213,-0.031292843,70,150
绩效数据,-0.021463951,0.428571429,-0.280022826,-0.033207464,160,235
绩效数据,-0.021683134,0.428571429,-0.279860291,-0.033391026,130,185
绩效数据,-0.021585353,0.404761905,-0.279659764,-0.032023228,115,215
绩效数据,-0.021936671,0.428571429,-0.279644319,-0.034525032,90,165
绩效数据,-0.021377507,0.452380952,-0.279629002,-0.032264201,170,225
绩效数据,-0.02149519,0.428571429,-0.279495294,-0.03150487,160,200
绩效数据,-0.021895485,0.571428571,-0.279227832,-0.030509057,130,90
绩效数据,-0.022234109,0.547619048,-0.279219541,-0.031151676,75,125
绩效数据,-0.02190731,0.476190476,-0.279187368,-0.032179966,45,170
绩效数据,-0.021411822,0.476190476,-0.278962238,-0.030778853,210,130
绩效数据,-0.021374768,0.428571429,-0.278910135,-0.030654326,135,220
绩效数据,-0.02177046,0.523809524,-0.278803223,-0.031267146,105,135
绩效数据,-0.021671283,0.5,-0.278599664,-0.033252854,120,145
绩效数据,-0.02169034,0.476190476,-0.278532149,-0.031324248,30,225
绩效数据,-0.022182695,0.523809524,-0.278435717,-0.029522911,45,140
绩效数据,-0.021613285,0.476190476,-0.278160614,-0.032017323,70,180
绩效数据,-0.021610635,0.404761905,-0.278127384,-0.034281385,60,185
绩效数据,-0.021987113,0.5,-0.278085009,-0.031329516,70,125
绩效数据,-0.021211138,0.428571429,-0.278059366,-0.030610842,220,125
绩效数据,-0.021340372,0.476190476,-0.277613164,-0.031416317,150,140
绩效数据,-0.021145948,0.404761905,-0.277468181,-0.03125549,105,215
绩效数据,-0.021355431,0.476190476,-0.277241796,-0.032731726,115,155
绩效数据,-0.021331317,0.476190476,-0.276866487,-0.033631617,90,155
绩效数据,-0.021021468,0.5,-0.276858312,-0.030088013,175,140
绩效数据,-0.020977744,0.404761905,-0.276802153,-0.031468752,115,210
绩效数据,-0.020974613,0.476190476,-0.276787939,-0.030402924,195,130
绩效数据,-0.020894297,0.452380952,-0.276576054,-0.030432287,185,150
绩效数据,-0.020924727,0.428571429,-0.276561489,-0.030395517,155,170
绩效数据,-0.021064351,0.476190476,-0.276157816,-0.030426512,55,225
绩效数据,-0.021541006,0.571428571,-0.276083725,-0.029937089,60,135
绩效数据,-0.02070092,0.5,-0.275697768,-0.029809402,215,120
绩效数据,-0.020993544,0.5,-0.275606592,-0.032050389,65,205
绩效数据,-0.021029332,0.476190476,-0.275503262,-0.031875745,80,165
绩效数据,-0.020935359,0.523809524,-0.275470644,-0.030954157,65,210
绩效数据,-0.020665927,0.452380952,-0.275245227,-0.029430212,90,225
绩效数据,-0.020729657,0.428571429,-0.275221077,-0.029710027,95,205
绩效数据,-0.020606282,0.428571429,-0.274908349,-0.030667025,120,190
绩效数据,-0.020830709,0.523809524,-0.274802436,-0.033273753,70,195
绩效数据,-0.020577311,0.428571429,-0.27477694,-0.030573943,125,185
绩效数据,-0.020333864,0.428571429,-0.27421716,-0.029712225,150,210
绩效数据,-0.020977955,0.5,-0.273950163,-0.030057753,100,105
绩效数据,-0.020512249,0.547619048,-0.273865325,-0.029858641,220,70
绩效数据,-0.020473824,0.452380952,-0.273580954,-0.029190316,155,130
绩效数据,-0.020372236,0.5,-0.273539632,-0.029201749,175,120
绩效数据,-0.020587703,0.452380952,-0.273530581,-0.032816135,60,190
绩效数据,-0.020613261,0.476190476,-0.273443452,-0.030585758,50,170
绩效数据,-0.020280176,0.476190476,-0.273429171,-0.030238156,190,120
绩效数据,-0.020506545,0.476190476,-0.273406067,-0.031422639,110,160
绩效数据,-0.020331035,0.452380952,-0.272934997,-0.02992067,75,210
绩效数据,-0.020360396,0.5,-0.27274569,-0.030795923,105,165
绩效数据,-0.019947505,0.476190476,-0.272275893,-0.028673941,205,130
绩效数据,-0.01999541,0.428571429,-0.272203108,-0.030331494,135,180
绩效数据,-0.020057385,0.476190476,-0.272113106,-0.028903422,165,130
绩效数据,-0.020627024,0.595238095,-0.271983517,-0.028956811,55,140
绩效数据,-0.020093118,0.452380952,-0.271968466,-0.02945078,160,130
绩效数据,-0.020237395,0.476190476,-0.271949102,-0.031691668,90,160
绩效数据,-0.019911915,0.428571429,-0.271868485,-0.03039539,145,175
绩效数据,-0.019951204,0.476190476,-0.271825228,-0.029651864,185,120
绩效数据,-0.019903545,0.452380952,-0.271786318,-0.02973707,120,195
绩效数据,-0.020211089,0.476190476,-0.271735423,-0.029244801,95,140
绩效数据,-0.019839263,0.452380952,-0.271634234,-0.030497295,125,200
绩效数据,-0.019815249,0.476190476,-0.271621843,-0.028568186,200,130
绩效数据,-0.019781153,0.476190476,-0.271467015,-0.027897541,205,125
绩效数据,-0.019687407,0.476190476,-0.271242266,-0.028208938,215,140
绩效数据,-0.01994985,0.476190476,-0.270650977,-0.029152661,30,220
绩效数据,-0.019574643,0.452380952,-0.270625517,-0.030652018,235,110
绩效数据,-0.020465768,0.523809524,-0.270542914,-0.027370266,45,130
绩效数据,-0.019475023,0.476190476,-0.269171161,-0.028372321,170,120
绩效数据,-0.019588958,0.404761905,-0.269092979,-0.031577052,125,135
绩效数据,-0.019285898,0.428571429,-0.26902781,-0.02893831,90,230
绩效数据,-0.019528198,0.5,-0.268918467,-0.030070294,125,140
绩效数据,-0.019182071,0.476190476,-0.268833821,-0.028226606,200,140
绩效数据,-0.019170547,0.452380952,-0.268789903,-0.027613248,195,150
绩效数据,-0.019550928,0.452380952,-0.268756152,-0.028199888,90,145
绩效数据,-0.019555398,0.523809524,-0.268447113,-0.028524746,45,165
绩效数据,-0.019447302,0.452380952,-0.268405012,-0.030054032,80,175
绩效数据,-0.019456529,0.5,-0.26833014,-0.030526705,40,195
绩效数据,-0.018986992,0.452380952,-0.268147991,-0.028427058,160,205
绩效数据,-0.018999082,0.476190476,-0.268011021,-0.029186738,230,115
绩效数据,-0.018928108,0.476190476,-0.267498234,-0.026735492,200,125
绩效数据,-0.019542753,0.547619048,-0.267000905,-0.026644705,50,140
绩效数据,-0.018914759,0.476190476,-0.266996308,-0.027704195,175,125
绩效数据,-0.019008266,0.523809524,-0.26685956,-0.02722674,80,200
绩效数据,-0.019101613,0.5,-0.266757523,-0.028413821,100,140
绩效数据,-0.019007721,0.5,-0.266633607,-0.028624267,120,150
绩效数据,-0.018812432,0.452380952,-0.266532589,-0.026956174,80,220
绩效数据,-0.018549186,0.428571429,-0.265967362,-0.029851667,125,220
绩效数据,-0.01862865,0.476190476,-0.265938071,-0.027314828,195,115
绩效数据,-0.018787852,0.5,-0.265762616,-0.028881314,125,150
绩效数据,-0.018518385,0.452380952,-0.26563839,-0.027461399,180,145
绩效数据,-0.018391416,0.452380952,-0.26535294,-0.028484895,140,215
绩效数据,-0.018719243,0.547619048,-0.265165612,-0.027007545,190,70
绩效数据,-0.018255582,0.452380952,-0.264899737,-0.025706008,230,145
绩效数据,-0.01859644,0.452380952,-0.264775237,-0.028901711,95,175
绩效数据,-0.018344366,0.428571429,-0.264755435,-0.028269914,140,180
绩效数据,-0.018342332,0.428571429,-0.264746203,-0.028251648,115,205
绩效数据,-0.018648732,0.523809524,-0.264713482,-0.027938171,75,165
绩效数据,-0.018358653,0.428571429,-0.264713407,-0.026653458,85,225
绩效数据,-0.018177937,0.428571429,-0.264093004,-0.026784236,140,185
绩效数据,-0.018115657,0.5,-0.264044715,-0.027594522,235,115
绩效数据,-0.018444647,0.5,-0.263925616,-0.027450461,70,190
绩效数据,-0.018176271,0.428571429,-0.263886148,-0.027663161,130,180
绩效数据,-0.018141114,0.476190476,-0.263790259,-0.026752645,200,115
绩效数据,-0.018405436,0.476190476,-0.263701108,-0.02829734,165,90
绩效数据,-0.01813426,0.476190476,-0.263695592,-0.027742058,165,145
绩效数据,-0.01836512,0.476190476,-0.263496697,-0.028364534,85,165
绩效数据,-0.017986405,0.476190476,-0.263457481,-0.026364104,230,120
绩效数据,-0.018340452,0.547619048,-0.26332209,-0.027460964,165,75
绩效数据,-0.01803721,0.476190476,-0.263147202,-0.026330329,75,230
绩效数据,-0.018486732,0.5,-0.26275834,-0.027828255,70,135
绩效数据,-0.017820849,0.428571429,-0.262650655,-0.029177878,140,200
绩效数据,-0.017850517,0.428571429,-0.262514509,-0.026819668,155,165
绩效数据,-0.018025366,0.476190476,-0.262504512,-0.026413285,80,205
绩效数据,-0.017880585,0.428571429,-0.262437062,-0.026406227,130,175
绩效数据,-0.018745399,0.476190476,-0.26235936,-0.026894519,30,135
绩效数据,-0.018028494,0.523809524,-0.262143751,-0.028043369,190,75
绩效数据,-0.017689048,0.476190476,-0.262060187,-0.027995754,120,225
绩效数据,-0.018004642,0.452380952,-0.261891575,-0.02870727,70,185
绩效数据,-0.017649177,0.476190476,-0.261837378,-0.026599676,195,140
绩效数据,-0.017721414,0.547619048,-0.261715395,-0.026112432,235,70
绩效数据,-0.017635401,0.428571429,-0.26143285,-0.025552633,185,125
绩效数据,-0.017494895,0.452380952,-0.261085367,-0.025442406,185,145
绩效数据,-0.017849484,0.5,-0.261006579,-0.027151376,50,175
绩效数据,-0.018080937,0.476190476,-0.260935316,-0.02611028,95,110
绩效数据,-0.017478834,0.5,-0.260827939,-0.026618306,200,120
绩效数据,-0.017747867,0.523809524,-0.260779179,-0.026176805,65,195
绩效数据,-0.017687607,0.476190476,-0.260438078,-0.027251403,160,90
绩效数据,-0.017544681,0.476190476,-0.260329982,-0.02644607,160,125
绩效数据,-0.017682718,0.452380952,-0.260223289,-0.026080235,65,155
绩效数据,-0.017641199,0.523809524,-0.260101636,-0.02557522,140,90
绩效数据,-0.017220983,0.428571429,-0.259934011,-0.027267908,145,200
绩效数据,-0.017159046,0.452380952,-0.25956032,-0.025463019,180,150
绩效数据,-0.017826538,0.547619048,-0.259444977,-0.025389633,80,120
绩效数据,-0.017448513,0.571428571,-0.259380729,-0.025174174,185,70
绩效数据,-0.017068246,0.428571429,-0.25928602,-0.025375184,155,195
绩效数据,-0.017080622,0.428571429,-0.259255135,-0.024510545,165,170
绩效数据,-0.017123567,0.404761905,-0.259173723,-0.024999371,105,210
绩效数据,-0.017230233,0.428571429,-0.258818803,-0.025318765,145,135
绩效数据,-0.017279185,0.452380952,-0.258616234,-0.026463411,75,180
绩效数据,-0.017228901,0.428571429,-0.258596038,-0.026943909,45,225
绩效数据,-0.017352165,0.5,-0.258516287,-0.02465791,105,105
绩效数据,-0.017008035,0.428571429,-0.258480953,-0.025070271,100,205
绩效数据,-0.017197285,0.5,-0.258098572,-0.024602703,85,145
绩效数据,-0.016882355,0.452380952,-0.258079367,-0.024897895,95,220
绩效数据,-0.017157087,0.428571429,-0.25806498,-0.028358634,120,135
绩效数据,-0.016725292,0.452380952,-0.257408623,-0.026676837,125,195
绩效数据,-0.016660388,0.476190476,-0.257379452,-0.023595466,185,155
绩效数据,-0.016852894,0.523809524,-0.256833153,-0.026055109,65,200
绩效数据,-0.017231254,0.571428571,-0.256774262,-0.024520195,60,140
绩效数据,-0.016874809,0.5,-0.256679064,-0.024490174,145,90
绩效数据,-0.017193679,0.523809524,-0.256605687,-0.024336281,95,105
绩效数据,-0.016484286,0.452380952,-0.256579537,-0.026327151,230,110
绩效数据,-0.017307833,0.5,-0.256413724,-0.024039823,20,155
绩效数据,-0.016446858,0.476190476,-0.256376737,-0.025784875,225,110
绩效数据,-0.016435267,0.452380952,-0.256356874,-0.025629313,115,225
绩效数据,-0.016810511,0.523809524,-0.256353345,-0.026537748,120,110
绩效数据,-0.016699799,0.5,-0.256205302,-0.025527104,130,140
绩效数据,-0.016346745,0.476190476,-0.255954782,-0.024720565,205,135
绩效数据,-0.017115289,0.523809524,-0.25574593,-0.022916981,20,165
绩效数据,-0.016654005,0.428571429,-0.255710491,-0.026245363,60,180
绩效数据,-0.016368235,0.404761905,-0.255685214,-0.02376591,100,210
绩效数据,-0.016352155,0.5,-0.255383192,-0.024111058,70,230
绩效数据,-0.016231958,0.428571429,-0.255259721,-0.025272754,170,155
绩效数据,-0.016361144,0.476190476,-0.254975893,-0.024577532,135,150
绩效数据,-0.016179004,0.428571429,-0.254826897,-0.025178763,150,160
绩效数据,-0.016131972,0.476190476,-0.254508934,-0.023806455,70,235
绩效数据,-0.016688286,0.523809524,-0.254338268,-0.024092445,70,130
绩效数据,-0.016373692,0.523809524,-0.254105959,-0.023005808,115,95
绩效数据,-0.016193988,0.523809524,-0.253422292,-0.023151037,120,95
绩效数据,-0.016091082,0.452380952,-0.253391794,-0.025088763,60,205
绩效数据,-0.016574672,0.5,-0.253254579,-0.022735813,50,130
绩效数据,-0.016095582,0.5,-0.253250938,-0.023627122,165,85
绩效数据,-0.015720943,0.452380952,-0.253120125,-0.025148521,140,205
绩效数据,-0.015920181,0.5,-0.253083217,-0.023909394,60,230
绩效数据,-0.015761752,0.452380952,-0.253036428,-0.022651114,195,125
绩效数据,-0.0160943,0.5,-0.252972736,-0.023450509,70,145
绩效数据,-0.015740371,0.428571429,-0.252837343,-0.023499712,95,215
绩效数据,-0.015718799,0.476190476,-0.252739503,-0.023255495,80,230
绩效数据,-0.015871308,0.5,-0.252578213,-0.024675934,130,145
绩效数据,-0.015536209,0.5,-0.252501461,-0.0248571,135,235
绩效数据,-0.015710374,0.428571429,-0.252474807,-0.024066129,110,190
绩效数据,-0.015564695,0.428571429,-0.252402461,-0.025254156,125,215
绩效数据,-0.015522932,0.452380952,-0.252180512,-0.02279845,180,155
绩效数据,-0.015887896,0.523809524,-0.252156562,-0.022576566,130,95
绩效数据,-0.015523301,0.428571429,-0.251749253,-0.023956372,145,160
绩效数据,-0.015376529,0.476190476,-0.251600098,-0.022340068,215,135
绩效数据,-0.015306583,0.428571429,-0.251237911,-0.024440569,130,215
绩效数据,-0.015604455,0.523809524,-0.251100264,-0.024545528,185,75
绩效数据,-0.015591541,0.428571429,-0.251041942,-0.025019379,120,140
绩效数据,-0.015293671,0.428571429,-0.25100062,-0.023085188,135,190
绩效数据,-0.015481329,0.476190476,-0.250909839,-0.023340679,60,220
绩效数据,-0.015226904,0.428571429,-0.250836031,-0.022281096,170,165
绩效数据,-0.015480139,0.380952381,-0.250538895,-0.024485615,55,205
绩效数据,-0.015122889,0.428571429,-0.25031444,-0.02338504,135,195
绩效数据,-0.015401432,0.5,-0.250098104,-0.023061771,70,175
绩效数据,-0.015272727,0.476190476,-0.250052129,-0.022867526,140,145
绩效数据,-0.014966851,0.476190476,-0.249945746,-0.021595917,235,140
绩效数据,-0.014955942,0.428571429,-0.249556364,-0.022385628,110,220
绩效数据,-0.015008548,0.476190476,-0.249294322,-0.023063512,155,145
绩效数据,-0.015221561,0.523809524,-0.249183609,-0.021304693,90,140
绩效数据,-0.014868668,0.5,-0.249071442,-0.022703537,210,115
绩效数据,-0.015184711,0.5,-0.249051858,-0.022100593,100,135
绩效数据,-0.015100814,0.452380952,-0.248918437,-0.025594329,40,225
绩效数据,-0.01471108,0.5,-0.248809602,-0.023534636,150,230
绩效数据,-0.014700509,0.5,-0.248761533,-0.023806151,145,235
绩效数据,-0.01501756,0.476190476,-0.248718824,-0.022672673,135,140
绩效数据,-0.014758342,0.452380952,-0.248659093,-0.022313008,175,155
绩效数据,-0.015147747,0.5,-0.248580199,-0.022486478,65,145
绩效数据,-0.015258438,0.476190476,-0.248255386,-0.021038676,120,85
绩效数据,-0.01532688,0.547619048,-0.248230415,-0.022530198,65,135
绩效数据,-0.014689958,0.428571429,-0.248132691,-0.022769373,160,155
绩效数据,-0.014741844,0.5,-0.248029768,-0.021977996,170,125
绩效数据,-0.014923906,0.5,-0.247961464,-0.024229382,120,130
绩效数据,-0.014635149,0.476190476,-0.247722439,-0.021975317,120,185
绩效数据,-0.015172669,0.595238095,-0.247538561,-0.021280299,55,145
绩效数据,-0.014707023,0.476190476,-0.247493011,-0.022383847,85,200
绩效数据,-0.014539234,0.428571429,-0.247489104,-0.021833244,100,220
绩效数据,-0.014814396,0.5,-0.247407664,-0.022960712,85,155
绩效数据,-0.014779569,0.476190476,-0.247250479,-0.02259214,90,150
绩效数据,-0.014791854,0.5,-0.247211615,-0.021309403,80,145
绩效数据,-0.014705695,0.547619048,-0.246587731,-0.021296185,110,100
绩效数据,-0.014342703,0.523809524,-0.24584492,-0.021039396,225,60
绩效数据,-0.014085311,0.452380952,-0.24560298,-0.02177454,140,190
绩效数据,-0.014857288,0.547619048,-0.245567095,-0.019897261,20,160
绩效数据,-0.014848716,0.547619048,-0.245528721,-0.01978332,70,110
绩效数据,-0.014298479,0.5,-0.245468214,-0.021393857,195,80
绩效数据,-0.014116634,0.547619048,-0.245252427,-0.021224695,225,75
绩效数据,-0.014284797,0.452380952,-0.244956712,-0.022204391,70,160
绩效数据,-0.014499968,0.523809524,-0.244497364,-0.021159362,80,115
绩效数据,-0.013614212,0.452380952,-0.243724836,-0.019378849,220,145
绩效数据,-0.013970779,0.476190476,-0.243723181,-0.021439782,80,180
绩效数据,-0.013867353,0.523809524,-0.243133337,-0.020316741,150,90
绩效数据,-0.013494343,0.476190476,-0.243132586,-0.019907048,135,225
绩效数据,-0.013488935,0.476190476,-0.242894947,-0.021063477,220,110
绩效数据,-0.013685013,0.547619048,-0.242869689,-0.020714267,215,70
绩效数据,-0.01364707,0.476190476,-0.242796032,-0.020269777,130,160
绩效数据,-0.014098397,0.523809524,-0.242695919,-0.019928436,90,105
绩效数据,-0.013586737,0.452380952,-0.242522987,-0.020053522,125,165
绩效数据,-0.013724404,0.452380952,-0.242461705,-0.021547845,80,155
绩效数据,-0.014022806,0.523809524,-0.242379803,-0.020168021,35,165
绩效数据,-0.01369068,0.476190476,-0.242309515,-0.020800572,85,150
绩效数据,-0.013411186,0.428571429,-0.242272667,-0.020706373,145,165
绩效数据,-0.013652518,0.5,-0.242203359,-0.020854652,65,180
绩效数据,-0.013973751,0.547619048,-0.242136761,-0.018603941,110,85
绩效数据,-0.013581991,0.523809524,-0.241924044,-0.021583914,180,75
