,年化收益率,季度胜率,夏普比率,卡玛比率,N1,N2,M
绩效数据,-0.13876689885480553,0.38095238095238093,-0.7919939231408601,-0.1652725981564024,50,20,15
绩效数据,-0.12388248439689542,0.4523809523809524,-0.7260380094679673,-0.15417193436182683,50,20,20
绩效数据,-0.09943564894831236,0.47619047619047616,-0.6176643485513522,-0.13498488960430277,50,20,25
绩效数据,-0.1357975477032669,0.42857142857142855,-0.7788120284525554,-0.16195755641775209,60,20,5
绩效数据,-0.13896243384161822,0.35714285714285715,-0.7929737046171513,-0.16574356083286015,60,20,10
绩效数据,-0.14263592475742193,0.40476190476190477,-0.8093624047062862,-0.16912385235784996,60,20,15
绩效数据,-0.10839985210830105,0.40476190476190477,-0.6577685119864185,-0.14514794293982922,60,20,20
绩效数据,-0.07925015894673526,0.5,-0.5286213216104874,-0.13064553698650938,60,20,25
绩效数据,-0.18286244704904797,0.2857142857142857,-0.9882105972137558,-0.20301948858350047,70,20,5
绩效数据,-0.1439138496272364,0.30952380952380953,-0.8154734510417319,-0.16958416886828717,70,20,10
绩效数据,-0.10840841055829209,0.30952380952380953,-0.6580008390974909,-0.1452652655861468,70,20,15
绩效数据,-0.08189684252239093,0.42857142857142855,-0.5410747963715256,-0.12114014802948181,70,20,20
绩效数据,-0.06148299449015193,0.4523809523809524,-0.45078276430688763,-0.11198708963497893,70,20,25
绩效数据,-0.15672022920762274,0.23809523809523808,-0.8726606181852858,-0.1841488271063554,80,20,5
绩效数据,-0.12720754169219417,0.2619047619047619,-0.7424584356516392,-0.15728867678539046,80,20,10
绩效数据,-0.12433624753014327,0.38095238095238093,-0.7302714882336119,-0.15408150707181315,80,20,15
绩效数据,-0.044560342650116214,0.5,-0.3757374690963545,-0.06731464125817066,80,20,20
绩效数据,-0.007266522914278095,0.47619047619047616,-0.2102050806072858,-0.01342443132984836,80,20,25
绩效数据,-0.051521405720855395,0.4523809523809524,-0.4044917589078356,-0.08987437820852548,30,25,5
绩效数据,-0.06508092398521259,0.38095238095238093,-0.46451410291722284,-0.12631117711089973,30,25,10
绩效数据,-0.09047292698111176,0.35714285714285715,-0.5768898357840769,-0.13540881729252788,30,25,15
绩效数据,-0.09915376009608923,0.30952380952380953,-0.6159665195898613,-0.1361503973507994,30,25,20
绩效数据,-0.13025709602340407,0.30952380952380953,-0.7539566905929697,-0.16328258698589587,30,25,25
绩效数据,-0.09447093016628327,0.42857142857142855,-0.5945822017226864,-0.13103881115174826,40,25,5
绩效数据,-0.1102006187963196,0.35714285714285715,-0.6649217717557852,-0.14063947846309252,40,25,10
绩效数据,-0.11613713152002181,0.4523809523809524,-0.6913338744955847,-0.14927300210676803,40,25,15
绩效数据,-0.09728733448399662,0.47619047619047616,-0.60784495235818,-0.12643716123139315,40,25,20
绩效数据,-0.09512869676746183,0.40476190476190477,-0.5984271184904703,-0.1249885727366166,40,25,25
绩效数据,-0.1322528708268229,0.40476190476190477,-0.7628102454620214,-0.16256700819662565,50,25,5
绩效数据,-0.13119713002591826,0.40476190476190477,-0.758204972303641,-0.1548927065680103,50,25,10
绩效数据,-0.09647501386546431,0.47619047619047616,-0.6043948037515784,-0.12277290651266498,50,25,15
绩效数据,-0.08553833856526971,0.42857142857142855,-0.5560012169081651,-0.11806484572796715,50,25,20
绩效数据,-0.05786254243690914,0.5476190476190477,-0.43341709568993075,-0.08838274097688878,50,25,25
绩效数据,-0.1531022285116591,0.38095238095238093,-0.855655897994198,-0.17723615813286103,60,25,5
绩效数据,-0.10902312762061406,0.5476190476190477,-0.6601198248509553,-0.1369400722587388,60,25,10
绩效数据,-0.06672409139119406,0.5714285714285714,-0.47267734091896596,-0.10684113496329237,60,25,15
绩效数据,-0.056133695702011877,0.5,-0.42598511156050956,-0.09425619352137941,60,25,20
绩效数据,-0.061685116705243015,0.5,-0.4507250055459315,-0.10559694025300861,60,25,25
绩效数据,-0.12045618077326459,0.38095238095238093,-0.710902620714664,-0.15417906761240202,70,25,5
绩效数据,-0.08125434656359876,0.4523809523809524,-0.5373523948118089,-0.12052629012422274,70,25,10
绩效数据,-0.0656684010898353,0.4523809523809524,-0.4683875866623591,-0.1090777823427922,70,25,15
绩效数据,-0.05025789859018681,0.47619047619047616,-0.4005889215726909,-0.10155044760835609,70,25,20
绩效数据,-0.047699139145510494,0.40476190476190477,-0.38954139885422595,-0.09573325436918002,70,25,25
绩效数据,-0.10838007098818081,0.2857142857142857,-0.6578751421199952,-0.1452899538432767,80,25,5
绩效数据,-0.08318368799722597,0.35714285714285715,-0.5467906133821281,-0.11781657690441834,80,25,10
绩效数据,-0.0645486916772694,0.38095238095238093,-0.4644053925742764,-0.08990268790471205,80,25,15
绩效数据,-0.007985286418418336,0.40476190476190477,-0.21321804161910093,-0.014003611201084789,80,25,20
绩效数据,0.0097187043660516,0.4523809523809524,-0.1346727808676963,0.019524855365731553,80,25,25
绩效数据,-0.1274321167046215,0.3333333333333333,-0.7440523116435819,-0.16691609347551326,90,25,5
绩效数据,-0.08605489664844923,0.3333333333333333,-0.5602007039212038,-0.13312111706115878,90,25,10
绩效数据,-0.06464203674532898,0.30952380952380953,-0.4653935238397512,-0.10131108500011103,90,25,15
绩效数据,-0.035190134640819104,0.4523809523809524,-0.3344425223786107,-0.05995953810509056,90,25,20
绩效数据,-0.03515924865991338,0.40476190476190477,-0.33434046491440195,-0.06079654358573592,90,25,25
绩效数据,-0.12290787579886564,0.38095238095238093,-0.724808034642767,-0.15316672191464603,100,25,5
绩效数据,-0.10546854312131015,0.38095238095238093,-0.6472296397402557,-0.14126281040484356,100,25,10
绩效数据,-0.07288265141674033,0.38095238095238093,-0.5021997100143593,-0.1053807181020957,100,25,15
绩效数据,-0.024761816187022445,0.35714285714285715,-0.288236317760053,-0.034384814298576254,100,25,20
绩效数据,-0.02116693700837402,0.42857142857142855,-0.27229320315962413,-0.03227296646449623,100,25,25
绩效数据,-0.028728812605244736,0.5,-0.30382834247692114,-0.048818081304133384,40,30,5
绩效数据,-0.07017864183753464,0.40476190476190477,-0.4876295409605061,-0.09037014877053814,40,30,10
绩效数据,-0.03582550974561349,0.47619047619047616,-0.33560784444901026,-0.05316779264453804,40,30,15
绩效数据,-0.0438392727828365,0.5,-0.3711193302799228,-0.060355829980784995,40,30,20
绩效数据,-0.07845473525984392,0.47619047619047616,-0.5245351033248787,-0.10322920551810702,40,30,25
绩效数据,-0.10531553744337041,0.4523809523809524,-0.64336072210272,-0.13080742448722193,50,30,5
绩效数据,-0.12053286456539491,0.4523809523809524,-0.7108988809028919,-0.146534678025798,50,30,10
绩效数据,-0.06099543462306323,0.5476190476190477,-0.44719122932143796,-0.09252313840089002,50,30,15
绩效数据,-0.025354519119625274,0.5,-0.28940354828798054,-0.04447864848175124,50,30,20
绩效数据,-0.01924745773963199,0.47619047619047616,-0.2623854141773311,-0.03324413247484841,50,30,25
绩效数据,-0.07686008335348626,0.42857142857142855,-0.5174696655332098,-0.1053295134918317,60,30,5
绩效数据,-0.05137798590780984,0.5238095238095238,-0.4046528838262747,-0.07445237317564682,60,30,10
绩效数据,-0.03672984441175353,0.5,-0.339809948832969,-0.06365852941779579,60,30,15
绩效数据,-0.04450202311279161,0.42857142857142855,-0.3744335134697702,-0.0751904502823839,60,30,20
绩效数据,-0.03468213266534814,0.5238095238095238,-0.33101463331514647,-0.059230988659488525,60,30,25
绩效数据,-0.09688229748220212,0.42857142857142855,-0.6063427390701063,-0.1323631057169941,70,30,5
绩效数据,-0.08654215685237254,0.38095238095238093,-0.560802154741728,-0.12339539114449684,70,30,10
绩效数据,-0.04280769725362399,0.42857142857142855,-0.3670331824943619,-0.0738914457792878,70,30,15
绩效数据,-0.038114724352011686,0.42857142857142855,-0.34668721133264774,-0.06688801072919469,70,30,20
绩效数据,-0.03878470307966064,0.40476190476190477,-0.34994036196817196,-0.06875852381409409,70,30,25
绩效数据,-0.10443909107178462,0.42857142857142855,-0.6403819231335398,-0.14128213569692008,80,30,5
绩效数据,-0.02497990978619513,0.4523809523809524,-0.28839044518364915,-0.042885729448865005,80,30,10
绩效数据,-0.008511345811684334,0.40476190476190477,-0.21547501097624625,-0.014751848425527906,80,30,15
绩效数据,-0.008880358530891197,0.47619047619047616,-0.2171949422889887,-0.014647156599310377,80,30,20
绩效数据,-0.020156861373577417,0.5,-0.267528124726671,-0.03398492495901747,80,30,25
绩效数据,-0.08446902243623211,0.40476190476190477,-0.5529414449032611,-0.12079604025405989,90,30,5
绩效数据,-0.04595631380929832,0.40476190476190477,-0.3819413254670253,-0.06985215231253293,90,30,10
绩效数据,-0.014488898792668237,0.47619047619047616,-0.24232258539096327,-0.024350621121318545,90,30,15
绩效数据,-0.03578626841290611,0.42857142857142855,-0.3370942783794304,-0.059625020587751716,90,30,20
绩效数据,-0.017744247787291112,0.42857142857142855,-0.2568705223398377,-0.029861618263497074,90,30,25
绩效数据,-0.1259289442598016,0.3333333333333333,-0.7382711884027008,-0.1559301326971264,100,30,5
绩效数据,-0.07021634142437938,0.40476190476190477,-0.49028031323966415,-0.10193422279372978,100,30,10
绩效数据,-0.005517930121750947,0.42857142857142855,-0.2024855069998196,-0.009232088310319528,100,30,15
绩效数据,-0.016898331486300266,0.4523809523809524,-0.25323888899884617,-0.02611004659114086,100,30,20
绩效数据,-0.03140911267754698,0.42857142857142855,-0.3178880689367671,-0.048353158861530424,100,30,25
绩效数据,-0.0942784953390039,0.35714285714285715,-0.5974568726499695,-0.1275710578478366,110,30,5
绩效数据,-0.0399531708573555,0.38095238095238093,-0.3558521728893624,-0.06133587141052001,110,30,10
绩效数据,-0.026053389784998937,0.42857142857142855,-0.29404577242591257,-0.04018557698579533,110,30,15
绩效数据,-0.019062744948121657,0.47619047619047616,-0.2629449670712499,-0.02976593076300907,110,30,20
绩效数据,-0.03992504442578404,0.38095238095238093,-0.3560439160964627,-0.060010931225977046,110,30,25
绩效数据,-0.0721870283463022,0.38095238095238093,-0.49946604170241043,-0.09985579539923078,120,30,5
绩效数据,-0.06908237341516821,0.35714285714285715,-0.4856719972568645,-0.09498584175353744,120,30,10
绩效数据,-0.08513828903546183,0.35714285714285715,-0.5575431110338959,-0.11290198040838233,120,30,15
绩效数据,-0.0743170548172215,0.35714285714285715,-0.5095498393569173,-0.10376020126284712,120,30,20
绩效数据,-0.04198924285658212,0.35714285714285715,-0.36568763084850014,-0.0653605245596018,120,30,25
绩效数据,-0.060136112563338284,0.4523809523809524,-0.4426933633982889,-0.09121527245282877,40,35,5
绩效数据,-0.13301858961225455,0.35714285714285715,-0.7661009366126859,-0.15435674791392245,40,35,10
绩效数据,-0.0997364553590332,0.40476190476190477,-0.6186350931771805,-0.12375525517400184,40,35,15
绩效数据,-0.09161539720872103,0.40476190476190477,-0.5827108800284386,-0.1160600062120635,40,35,20
绩效数据,-0.043031734348793926,0.40476190476190477,-0.36763534257425895,-0.06164095186142949,40,35,25
绩效数据,-0.10174308077820271,0.40476190476190477,-0.627528010886189,-0.13128983701574123,50,35,5
绩效数据,-0.07129845993826911,0.42857142857142855,-0.4927080741054563,-0.09746792853028055,50,35,10
绩效数据,-0.058645465050030876,0.40476190476190477,-0.43678287447563646,-0.09069564052125614,50,35,15
绩效数据,-0.009623528094950484,0.47619047619047616,-0.21974562475662351,-0.020182343119361703,50,35,20
绩效数据,-0.021548870783592466,0.5,-0.27257727487595945,-0.04510824746980477,50,35,25
绩效数据,-0.06093022813637716,0.42857142857142855,-0.4469024329412907,-0.10118736689103688,60,35,5
绩效数据,-0.04671071056085008,0.5,-0.38398090840803184,-0.0758624054701589,60,35,10
绩效数据,-0.042512105301670045,0.35714285714285715,-0.3654202126964335,-0.06890487303169208,60,35,15
绩效数据,-0.03505557273172466,0.5,-0.3325717592765308,-0.06704124098663035,60,35,20
绩效数据,0.01634869815909923,0.5238095238095238,-0.10483693150373771,0.03524271690166454,60,35,25
绩效数据,-0.10505805908139487,0.2857142857142857,-0.6425968929089189,-0.13733075112325974,70,35,5
绩效数据,-0.0680775816716167,0.40476190476190477,-0.47892949584185374,-0.10606962140180448,70,35,10
绩效数据,-0.0742369331235967,0.35714285714285715,-0.5063862841523319,-0.12138669538310615,70,35,15
绩效数据,-0.016938153567812697,0.4523809523809524,-0.2527006560820506,-0.0291246004880419,70,35,20
绩效数据,0.01759732405345149,0.5,-0.0995131990920896,0.03291810823952204,70,35,25
绩效数据,-0.06550240860530065,0.30952380952380953,-0.4676515948320868,-0.10252528123618615,80,35,5
绩效数据,-0.06259328317833956,0.38095238095238093,-0.4553524402099835,-0.0996084061554915,80,35,10
绩效数据,-0.03154976310709634,0.40476190476190477,-0.31780271688350364,-0.05416493497503266,80,35,15
绩效数据,-0.005799584860913587,0.35714285714285715,-0.20350675009946276,-0.009254702877441309,80,35,20
绩效数据,-0.011875787918796621,0.35714285714285715,-0.23070217035027282,-0.019312890696835592,80,35,25
绩效数据,-0.06450285716907844,0.3333333333333333,-0.4642017480696474,-0.08561884652640665,90,35,5
绩效数据,-0.07209913461415951,0.35714285714285715,-0.49814502435986574,-0.11017576859099527,90,35,10
绩效数据,-0.0752672166585876,0.2857142857142857,-0.5126712166239444,-0.11076596983101994,90,35,15
绩效数据,-0.015295267356611686,0.35714285714285715,-0.24595086785946849,-0.024847240229155822,90,35,20
绩效数据,-0.042045641762085806,0.35714285714285715,-0.3649770928095081,-0.07610129170545879,90,35,25
绩效数据,-0.03986052562629383,0.42857142857142855,-0.3551568272349521,-0.05804086935752317,100,35,5
绩效数据,-0.07052635564470511,0.3333333333333333,-0.4916599667957713,-0.10165740442132018,100,35,10
绩效数据,-0.041472626844708316,0.38095238095238093,-0.3624277477659126,-0.06907155561981813,100,35,15
绩效数据,-0.03637398675520864,0.40476190476190477,-0.33992069289856186,-0.05725482551471076,100,35,20
绩效数据,-0.03241084212611822,0.38095238095238093,-0.32234761040255444,-0.051545250982069114,100,35,25
绩效数据,-0.06165561156204813,0.38095238095238093,-0.45223259321326503,-0.08735590799123379,110,35,5
绩效数据,-0.03321842333030267,0.35714285714285715,-0.32587522026878424,-0.04796212381901277,110,35,10
绩效数据,-0.04144658735853213,0.40476190476190477,-0.3625749928734533,-0.058456003781551524,110,35,15
绩效数据,-0.05687148137406761,0.40476190476190477,-0.4312867566493784,-0.08223934710391331,110,35,20
绩效数据,-0.02628191131939528,0.38095238095238093,-0.2952646677841498,-0.038114705088945385,110,35,25
绩效数据,-0.07349089720046098,0.30952380952380953,-0.5052739054267633,-0.10625028248582709,120,35,5
绩效数据,-0.09169307136651306,0.35714285714285715,-0.5864112252172615,-0.12340772053297727,120,35,10
绩效数据,-0.0728285775748817,0.38095238095238093,-0.502667021901506,-0.09913680183389588,120,35,15
绩效数据,-0.08922745249887842,0.30952380952380953,-0.5760563585285642,-0.11978644833418974,120,35,20
绩效数据,-0.06106309573261837,0.38095238095238093,-0.450781191055153,-0.08824900362253729,120,35,25
绩效数据,-0.06300675726887828,0.30952380952380953,-0.4588916924970555,-0.09664896709703072,130,35,5
绩效数据,-0.08005593019903834,0.3333333333333333,-0.5351448912987777,-0.11339612263068162,130,35,10
绩效数据,-0.06719692050565407,0.38095238095238093,-0.47815096686643627,-0.09833983532697735,130,35,15
绩效数据,-0.045292272164536795,0.40476190476190477,-0.38052925447635566,-0.07026817194123022,130,35,20
绩效数据,-0.04426423862295503,0.40476190476190477,-0.3759998873830167,-0.06961072483681484,130,35,25
绩效数据,-0.0835259649490443,0.3333333333333333,-0.5510287766043396,-0.11776789892374225,140,35,5
绩效数据,-0.05665259367144482,0.3333333333333333,-0.43122448163581906,-0.08355089279379974,140,35,10
绩效数据,-0.03380201301661312,0.40476190476190477,-0.3293115413167747,-0.0533713043653137,140,35,15
绩效数据,-0.02200586949338157,0.4523809523809524,-0.2767841540989611,-0.034313985537333225,140,35,20
绩效数据,0.012351885832172504,0.47619047619047616,-0.12345352070817125,0.020506863502368536,140,35,25
绩效数据,-0.05274640824814303,0.4523809523809524,-0.41051218331907746,-0.07189592159307728,50,40,5
绩效数据,-0.040359784647233665,0.40476190476190477,-0.3557153749852201,-0.060492488485961546,50,40,10
绩效数据,0.013032667036567691,0.4523809523809524,-0.11940734926715367,0.02116148184487578,50,40,15
绩效数据,0.041027951553106234,0.5476190476190477,0.004552775200211668,0.10198797181955609,50,40,20
绩效数据,0.02350861562328377,0.5238095238095238,-0.07304118991456919,0.05640738085355509,50,40,25
绩效数据,-0.03811255248501977,0.4523809523809524,-0.3458526498263461,-0.06095692678151394,60,40,5
绩效数据,-0.014255619615267556,0.5238095238095238,-0.2402564984279511,-0.029305697906711087,60,40,10
绩效数据,-0.049016853737756994,0.40476190476190477,-0.394232310933315,-0.08134805372173672,60,40,15
绩效数据,0.010063143497432758,0.5238095238095238,-0.13265659861319506,0.019660034758211622,60,40,20
绩效数据,0.03521570545479902,0.5,-0.02120849509710359,0.07499600097139371,60,40,25
绩效数据,-0.0588252914073234,0.42857142857142855,-0.437682135285044,-0.10714383013470036,70,40,5
绩效数据,-0.023435099794599457,0.40476190476190477,-0.281080235746264,-0.043363974579019283,70,40,10
绩效数据,0.008877627112895192,0.40476190476190477,-0.13795013205625226,0.01787446234421099,70,40,15
绩效数据,0.03593552330899019,0.5714285714285714,-0.018041429013932065,0.07883231404186881,70,40,20
绩效数据,-0.023508922880090544,0.42857142857142855,-0.2820872190899567,-0.04470850506905227,70,40,25
绩效数据,-0.06954522000083041,0.35714285714285715,-0.48557916446566274,-0.1132623421647339,80,40,5
绩效数据,-0.0473203416622785,0.35714285714285715,-0.38754888608485544,-0.0817792218811775,80,40,10
绩效数据,-0.014356017762029438,0.38095238095238093,-0.24143394727364878,-0.02474095449878843,80,40,15
绩效数据,0.0002649371450187399,0.40476190476190477,-0.1765614907495138,0.0004437990802086704,80,40,20
绩效数据,-0.0212097822461631,0.40476190476190477,-0.27221054285246155,-0.04109596990579427,80,40,25
绩效数据,-0.06755651984489786,0.30952380952380953,-0.4777713504852658,-0.10737946984982172,90,40,5
绩效数据,0.00018662149630399583,0.38095238095238093,-0.1769094696655653,0.00032914680002542795,90,40,10
绩效数据,-0.008702746637091141,0.3333333333333333,-0.21659186268101469,-0.014796800767149221,90,40,15
绩效数据,-0.042353252995835255,0.38095238095238093,-0.3663069393900953,-0.06491818028441722,90,40,20
绩效数据,-0.03902271601018359,0.35714285714285715,-0.3515282687241795,-0.0679737798403212,90,40,25
绩效数据,-0.11449418326130567,0.30952380952380953,-0.6873198423416167,-0.15665287467904945,100,40,5
绩效数据,-0.05010309743609709,0.2857142857142857,-0.40078401552696835,-0.0781135552198487,100,40,10
绩效数据,-0.01810727354993158,0.38095238095238093,-0.2584853543085067,-0.03018364685090742,100,40,15
绩效数据,-0.029038810268741666,0.38095238095238093,-0.3072722168267925,-0.049992269165771465,100,40,20
绩效数据,-0.031080439339242316,0.4523809523809524,-0.31642487268942343,-0.06446554893315105,100,40,25
绩效数据,-0.07243735008429897,0.35714285714285715,-0.5002176253206246,-0.09771458470373215,110,40,5
绩效数据,-0.03740756683992441,0.38095238095238093,-0.3445212424070203,-0.05424466550981337,110,40,10
绩效数据,-0.05193867804786634,0.40476190476190477,-0.40929081997196076,-0.07665818912941236,110,40,15
绩效数据,-0.05675959309016465,0.35714285714285715,-0.43078847576648666,-0.08618890950245771,110,40,20
绩效数据,-0.041247005205533926,0.4523809523809524,-0.3619335397937821,-0.06965071027970919,110,40,25
绩效数据,-0.10621846924014089,0.2619047619047619,-0.6511119444341763,-0.13440436879607265,120,40,5
绩效数据,-0.08581027649783879,0.35714285714285715,-0.5601960687810805,-0.11629822304920348,120,40,10
绩效数据,-0.07727461387341039,0.38095238095238093,-0.5224855382522321,-0.11037443962543807,120,40,15
绩效数据,-0.08345108486530184,0.3333333333333333,-0.5502885976059595,-0.12149081867339709,120,40,20
绩效数据,-0.05966945620258668,0.35714285714285715,-0.4445630087494189,-0.09493955467227844,120,40,25
绩效数据,-0.08401771262759228,0.30952380952380953,-0.5525469714272429,-0.11518397103927665,130,40,5
绩效数据,-0.06798159440165952,0.3333333333333333,-0.4812975542721856,-0.09606262597230254,130,40,10
绩效数据,-0.05872254444353231,0.35714285714285715,-0.4403381382251005,-0.08675405691030713,130,40,15
绩效数据,-0.04479815343422555,0.30952380952380953,-0.37832441651813525,-0.07573973055309233,130,40,20
绩效数据,-0.008560283470793628,0.40476190476190477,-0.21668222148684352,-0.015444655143004698,130,40,25
绩效数据,-0.04251497727798148,0.40476190476190477,-0.36803280273699956,-0.06175643265483509,140,40,5
绩效数据,-0.037647623436373734,0.38095238095238093,-0.3464189747853371,-0.05618908652207788,140,40,10
绩效数据,-0.03542125233699667,0.40476190476190477,-0.3365372067678134,-0.05358560866362355,140,40,15
绩效数据,-0.03851026226021481,0.42857142857142855,-0.3504598346470826,-0.07022169013543858,140,40,20
绩效数据,0.006640797816293897,0.47619047619047616,-0.1489521243699536,0.012554472041866806,140,40,25
绩效数据,-0.030174062539714885,0.40476190476190477,-0.31312257772009355,-0.0468510286130166,150,40,5
绩效数据,0.01919198268968092,0.47619047619047616,-0.09289097259130567,0.03694087260909315,150,40,10
绩效数据,0.024404605756577658,0.42857142857142855,-0.06963900128139693,0.0512765303229276,150,40,15
绩效数据,0.03166304525164332,0.4523809523809524,-0.037280993575878156,0.06733884668977501,150,40,20
绩效数据,0.037650488548716776,0.5238095238095238,-0.010514102740809982,0.08489062404489564,150,40,25
